"";"digits";"algorithm";"n_neighbors";"metric";"sizes";"digit";"precision";"recall";"f1_score";"support"
"1604";3;"auto";1;"manhattan";20;3;0,93;0,94;0,94;103
"1605";4;"auto";1;"manhattan";20;4;0,95;0,87;0,91;95
"1606";5;"auto";1;"manhattan";20;5;0,91;0,93;0,92;97
"1607";6;"auto";1;"manhattan";20;6;0,98;0,92;0,95;106
"1608";7;"auto";1;"manhattan";20;7;0,84;0,9;0,87;97
"1609";8;"auto";1;"manhattan";20;8;0,96;0,86;0,91;87
"1610";9;"auto";1;"manhattan";20;9;0,92;0,9;0,91;112
"1611";0;"ball_tree";1;"manhattan";20;0;0,96;0,97;0,96;97
"1612";1;"ball_tree";1;"manhattan";20;1;0,79;0,98;0,87;95
"1613";2;"ball_tree";1;"manhattan";20;2;0,99;0,91;0,95;111
"1614";3;"ball_tree";1;"manhattan";20;3;0,93;0,94;0,94;103
"1615";4;"ball_tree";1;"manhattan";20;4;0,95;0,87;0,91;95
"1616";5;"ball_tree";1;"manhattan";20;5;0,91;0,93;0,92;97
"1617";6;"ball_tree";1;"manhattan";20;6;0,98;0,92;0,95;106
"1618";7;"ball_tree";1;"manhattan";20;7;0,84;0,9;0,87;97
"1619";8;"ball_tree";1;"manhattan";20;8;0,96;0,86;0,91;87
"1620";9;"ball_tree";1;"manhattan";20;9;0,92;0,9;0,91;112
"1621";0;"kd_tree";1;"manhattan";20;0;0,96;0,97;0,96;97
"1622";1;"kd_tree";1;"manhattan";20;1;0,79;0,98;0,87;95
"1623";2;"kd_tree";1;"manhattan";20;2;0,99;0,91;0,95;111
"1624";3;"kd_tree";1;"manhattan";20;3;0,93;0,94;0,94;103
"1625";4;"kd_tree";1;"manhattan";20;4;0,95;0,87;0,91;95
"1626";5;"kd_tree";1;"manhattan";20;5;0,91;0,93;0,92;97
"1627";6;"kd_tree";1;"manhattan";20;6;0,98;0,92;0,95;106
"1628";7;"kd_tree";1;"manhattan";20;7;0,84;0,9;0,87;97
